PLACE,PIN,LAT,LON
Achutipur,756047,21.520134,86.898115
Ada,756134,21.194468,86.521759
Adangapantei,756038,21.63715,87.349945
Aghirapada,756049,21.359265,86.537543
Alalbindha,756036,21.71158,87.39873
Alalpur,756086,21.78367,87.25386
Alasuan,756043,21.3812,86.81692
Aliha,756182,21.206977,86.478804
Alumeda,756027,21.5763,87.12977
AmardaRoad,756030,21.728771,87.101127
Ambadiha,756034,21.747638,87.281192
Ambapunja,756027,21.58805,87.00051
Ambliatha,756086,21.81003,87.259963
Anandapur,756126,21.18027,86.62184
Anantapur,756046,21.232758,86.764262
Angula,756045,21.338285,86.678735
Anko,756028,21.630815,87.034942
Antara,756134,21.173764,86.492074
Arabandha,756058,21.58381,86.72256
Arakhpur,756182,21.22944,86.49063
Arjunpur,756048,21.281705,86.457945
Armala,756019,21.49245,86.83939
Aruhabad,756044,21.274447,86.843367
Aruhabruti,756079,21.675285,87.325495
Ashabandha,756033,21.84899,87.14584
Asti,756026,21.684463,87.300371
Asuria,756047,21.264003,86.537543
Attapur,756045,21.31072,86.61817
Ausha,756037,21.627677,87.397968
Avana,756051,21.257718,86.824544
Azimabad,756001,21.49225,86.92806
Badakuruda,756024,21.520134,86.898115
Badapal,756019,21.57876,86.67626
Badapokhari,756047,21.36374,86.70691
Badas,756083,21.62047,87.31389
Badasimulia,756026,21.654273,87.275511
Badasindhia,756003,21.520134,86.898115
Badhan,756080,21.67725,87.19697
Badhapal,756026,21.675487,87.297885
Bagada,756083,21.594864,87.240064
Baghua,756182,21.237759,86.456048
Bahabalpur,756027,21.50775,87.07347
Bahala,756060,21.464497,86.815758
Bahanaga,756042,21.351172,86.767404
Baharda,756035,21.55765,86.85169
BahardaBazar,756029,21.676022,87.067428
Baiganabadia,756079,21.707435,87.302285
BainandaMangarajpur,756045,21.260813,86.637806
Baitpur,756036,21.64309,87.44526
Bajitpur,756085,21.74528,87.37823
Balanga,756046,21.231889,86.719002
Balaramgadi,756025,21.469252,87.055207
Balarampur,756024,21.6254,87.217973
Balasore,756001,21.49917,86.918585
BalasoreCourt,756001,21.50273,86.92475
BalasoreRS,756001,21.520134,86.898115
BaliaFarm,756056,21.520134,86.898115
Baliapal,756026,21.654394,87.28297
BaliapalKatisahi,756023,21.635861,87.253627
BaliapalNarayanpur,756083,21.520134,86.898115
Baliapati,756081,21.73647,87.16407
Balikhanda,756166,21.10619,86.62394
Balim,756035,21.785027,87.348809
Bamada,756028,21.637162,86.973671
BanaBishnupur,756047,21.275633,86.61369
Bankeswar,756021,21.41611,86.93612
Barabati,756003,21.494553,86.944597
Barada,756022,21.617462,87.023428
Barada,756134,21.617462,87.023428
Baradiha,756033,21.855278,87.168518
Barahapur,756046,21.160601,86.530725
Barbatia,756079,21.691388,87.328583
BarbatiaBazar,756039,21.647202,87.434503
Bardhanpur,756021,21.404061,86.928606
Bari,756126,21.27506,86.84636
Bariha,756126,21.227353,86.605612
Bartana,756038,21.450768,86.874534
Bartana,756086,21.450768,86.874534
Barunagadia,756029,21.63596,87.16479
BarunSingh,756060,21.520134,86.898115
Basta,756029,21.696777,87.059928
Batagramghat,756036,21.695677,87.411753
Bati,756126,21.20081,86.65881
